"","Date","Country","City","Killed","Injured","Description"
"193",2002-05-05,"Pakistan","Karachi",1,0,"Policeman killed by Islamist gunmen."
"194",2002-05-06,"Pakistan","Karachi",3,0,"Three persons - principal of a government institute, his driver and assistant - are killed in an ambush by armed fundamentalists."
"195",2002-05-07,"Israel","Rishon Lezion",15,55,"Fifteen people are killed and fifty-five more injured in a Fedayeen suicide attack on a crowded game club."
"196",2002-05-07,"Pakistan","Lahore",3,0,"Noted religious scholar Ghulam Murtaza Malik, his driver and a police personnel are shot to death by Islamists.."
"197",2002-05-07,"Pakistan","Karachi",1,0,"Another sectarian killing by two gunmen."
"198",2002-05-08,"India","Morha Bagla",1,0,"Two Jihad terrorists kill a man after getting directions from him."
"199",2002-05-08,"Pakistan","Karachi",16,34,"Twelve French nationals and four Pakistanis are killed and 34 more injured in a suicide bombing against a bus opposite Sheraton Hotel."
"200",2002-05-09,"Dagestan","Kaspiisk",45,170,"Chechen terrorists detonate a bomb at a Russian military parade, slaughtering forty-five innocents and injuring more than one-hundred and seventy."
"201",2002-05-09,"Pakistan","Rawalpindi",2,1,"Two policemen killed and one injured in Islamist attack."
"202",2002-05-09,"India","Dalwa",1,1,"Lashkar-e-Toiba abduct two brothers who refuse to join them.  Both are tortured, with one dying."
"203",2002-05-10,"India","Kither",1,1,"The Mujahideen kill one civilian and severely injure another in their homes."
"204",2002-05-10,"India","Nandipora-Beerwah",2,0,"A man and his elderly father are killed inside their home by militant Muslims."
"205",2002-05-12,"India","Butshungni-Winder",2,2,"The Mujahideen kill two civilians, critically injure another and abduct a fourth."
"206",2002-05-13,"India","Sarawa",1,0,"Lashkar-e-Toiba terrorists force their way into a home and kill a man's son for his refusal to join them."
"207",2002-05-14,"Algeria","Baraqi",5,0,"Five policeman are assassinated by fundamentalists in two separate attacks (first attack was in Dali Ibrahim)."
"208",2002-05-14,"Algeria","Tazmalt",7,5,"Religious fundamentalists set off a bomb at the entrance to a market."
"209",2002-05-14,"India","Kaluchak",36,48,"Islamic militants raid a military camp, killing thirty-six people, mostly the wives and children of Indian soldiers, including a 2-month-old child."
"210",2002-05-16,"Indonesia","Tamonjeka",2,0,"Two Christian men are killed by suspected Muslim radicals."
"211",2002-05-17,"India","Bonkoot",1,1,"Jaish-e-Mohammed murder an 18-year-old and injure his mother as she tries to protect him."
"212",2002-05-17,"India","Jammu",2,16,"Two are killed in militant Muslim bomb blast."
"213",2002-05-19,"India","Chasana",4,7,"Fedayeen attack on Indian military camp kills four and leaves seven injured."
